region,inzidenz,kurzarbeit,arbeitslosigkeit,digital,hosp
nord,714.05,1.13,7.06,103.2,9.674
ost,597.20,1.27,6.6,105.5,11.146
süd,725.98,1.19,3.35,130.6,9.8
west,718.29,6.325,5.7,106.7,9.22
