region,inzidenz,kurzarbeit,arbeitslosigkeit,digital,hosp
nord,25.73,8.34,7.64,97.2,2.196
ost,40.69,6.82,7.14,93.8,4.162
süd,42.95,9.43,3.85,111.5,3.71
west,37.97,11.20,6.325,93.4,3.2025
